"cluster";"Phylum.Classe";"Nb"
1;"Bacillariophyceae";9
1;"Dinophyceae";2
2;"Dinophyceae";1
3;"Bacillariophyceae";1
3;"Cryptophyceae";1
3;"Dinophyceae";2
4;"Bacillariophyceae";2
