"cluster";"Phylum.Classe";"Nb"
1;"Bacillariophyceae";1
1;"Ciliophora";1
2;"Bacillariophyceae";8
3;"Bacillariophyceae";8
3;"Cryptophyceae";1
3;"Dictyochophyceae";1
3;"Dinophyceae";5
