"Code_point_Libelle";"ID.interne.passage";"Date";"CHLOROA";"SALI";"TEMP";"TURB";"NH4";"PO4";"SIOH";"OXYGENE";"NO3+NO2";"TURB-FNU";"Shannon";"Simpson";"BergerParker";"Pielou";"Rspe";"Bacillariophyceae";"Dinophyceae";"Cryptophyceae";"Haptophyta";"Ciliophora";"DinoBac";"N_noeuds";"N_liens";"D_liens";"C_tance";"Avg_p_length";"Adhes";"Mod";"meanN_liens";"Assort";"Diss";"Trans";"meanN_voisins";"Nat_connect";"N_clust";"cluster"
"22B - Toulon gde rade";60047660;2009-10-01;0,04;37,1;22,7;NA;NA;NA;NA;NA;NA;0,352;0,585100890649239;0,279764198815534;0,840501792114695;0,228114012835052;13;222200;900;NA;100;NA;0,00405040504050405;13;56;4,30769230769231;0,717948717948718;0,132051522372505;3;0,0368303571428572;8,61538461538461;-0,239071775499194;0,837552566897061;0,832627118644068;2,66071428571429;0,116318579431348;3;1
"22B - Toulon gde rade";60056583;2009-10-20;0,08;36,1;20,6;NA;0,106;0,038;1,02;NA;0,23;0,174;2,16608493924983;0,8671875;0,25;0,940718736449941;10;300;700;400;NA;NA;2,33333333333333;10;20;2;0,444444444444444;0,216117884603289;1;0,18;4;-0,0540184453227907;0,852001731502279;0,549295774647887;4,65;0,137931479683764;2;1
"22B - Toulon gde rade";60056584;2009-10-26;1,13;36,1;19,3;NA;NA;NA;NA;NA;NA;0,43;1,04302517398017;0,439112469766192;0,737704918032787;0,395226417507279;14;47800;800;NA;NA;NA;0,0167364016736402;14;55;3,92857142857143;0,604395604395604;0,130066024714497;2;0,0370247933884297;7,85714285714286;0,00753768844220749;0,855927278186035;0,762237762237762;3,2;0,101792405848187;3;1
"22B - Toulon gde rade";60058040;2009-11-09;NA;36,7;16,5;NA;NA;NA;NA;NA;NA;0,206;1,46428754702575;0,594530321046373;0,620689655172414;0,610655337468894;11;1500;200;3600;NA;NA;0,133333333333333;11;27;2,45454545454545;0,490909090909091;0,181777502259207;1;0,13923182441701;4,90909090909091;-0,0455965021861354;0,812023382421943;0,624;4,37037037037037;0,134184461894598;2;1
"22B - Toulon gde rade";60070900;2009-11-25;0,1;36,4;17,2;NA;0,098;0,028;1,02;NA;0,31;0,175;1,76585280548211;0,804733727810651;0,307692307692308;0,907468829606228;7;2300;100;200;NA;NA;0,0434782608695652;7;11;1,57142857142857;0,523809523809524;0,177055437778987;1;0,144628099173554;3,14285714285714;0,043478260869567;0,815728823423908;0,724137931034483;3,81818181818182;0,215887174728814;2;1
"22B - Toulon gde rade";60070980;2009-12-08;0,27;35;15,5;NA;NA;NA;NA;NA;NA;0,319;1,95091957787389;0,768170066072968;0,429378531073446;0,703645500042963;16;13100;3800;NA;NA;NA;0,290076335877863;16;88;5,5;0,733333333333333;0,126669148358933;3;0,00619834710743797;11;-0,114546054468389;0,822987196158103;0,853582554517134;2,43181818181818;0,109126609007534;2;1
"22B - Toulon gde rade";60071061;2009-12-22;0,37;34,8;14,2;NA;0,183;0,036;1,14;NA;0,72;1,1;1,43357539182687;0,601456815816857;0,612903225806452;0,652448277983879;9;2000;800;NA;NA;NA;0,4;9;18;2;0,5;0,113120470607448;2;0,118827160493827;4;-0,147252747252748;0,893388570076895;0,491803278688525;4,33333333333333;0,15201007451516;3;1
"22B - Toulon gde rade";60074980;2010-01-04;0,35;36,4;13,5;NA;NA;NA;NA;NA;NA;0,404;1,32966134885476;0,722222222222222;0,333333333333333;0,959147917027245;4;400;100;100;NA;NA;0,25;4;3;0,75;0,5;0,0913226153786127;0;0;1,5;NA;0,895694966871187;1;1,33333333333333;0,386532631540982;2;1
"22B - Toulon gde rade";60076961;2010-01-19;0,63;31,3;10,7;NA;0,37;0,05;5,23;NA;2,56;1,02;1,52524169581781;0,665711788850014;0,495559502664298;0,509138186106442;20;53400;1000;600;NA;NA;0,0187265917602996;20;102;5,1;0,536842105263158;0,124271243984491;1;0,0650230680507497;10,2;0,0372556252305446;0,848553359251922;0,716911764705882;3,81372549019608;0,0760322936224337;4;1
"22B - Toulon gde rade";60083469;2010-02-02;0,47;33,3;12,8;NA;NA;NA;NA;NA;NA;0,413;0,903793527154302;0,391097021684693;0,77007299270073;0,39251254162299;10;26500;NA;400;NA;NA;NA;10;25;2,5;0,555555555555556;0,233271806120647;2;0,0632;5;-0,186666666666667;0,770907751121654;0,725;3,4;0,164227074052743;3;1
