"hubs$vector";"Phyto"
1;"Guinardia"
0,987378489795709;"Gyrodinium"
0,96532923087382;"Protoperidinium"
0,925816117427089;"Ciliophora.x"
0,920581563842378;"Pseudo-nitzschia"
0,891183966486913;"Chaetoceros"
0,88263909355525;"Cryptophyceae.x"
0,816429893168974;"Katodinium"
0,800630396426318;"Rhizosolenia"
0,754080178912766;"Prorocentrum"
0,724917909839023;"Leptocylindrus"
0,716684597406795;"Pleurosigma"
0,694701488709362;"Rhaphoneis"
0,569041683316549;"Navicula"
0,562169411038185;"Gymnodinium"
0,471856510564023;"Heterocapsa"
0,44374846979185;"Scrippsiella"
0,420882297544796;"Thalassionema"
0,364963891569194;"Paralia"
0,296206724634975;"Ditylum"
0,26879847223094;"Nitzschia"
0,258274556941505;"Thalassiosira"
0,223148768978491;"Odontella"
0,20469731254885;"Dictyocha"
0,133163233329718;"Coscinodiscus"
0,103765071355054;"Skeletonema"
