"hubs$vector";"Phyto"
1;"Gyrodinium"
0,991954255460703;"Pseudo-nitzschia"
0,971829694179032;"Guinardia"
0,922956535484033;"Ciliophora.x"
0,92103953686725;"Protoperidinium"
0,870988076877879;"Chaetoceros"
0,869110599338468;"Rhizosolenia"
0,818380501787148;"Cryptophyceae.x"
0,777331059763126;"Katodinium"
0,692409728030462;"Rhaphoneis"
0,686298374147703;"Pleurosigma"
0,685493318647273;"Asterionellopsis"
0,665399188370304;"Prorocentrum"
0,604306746420954;"Phaeocystis"
0,572564928943093;"Dactyliosolen"
0,56347561844466;"Gymnodinium"
0,46410590141703;"Thalassionema"
0,432782124618788;"Heterocapsa"
0,396176178444597;"Scrippsiella"
0,361082974225338;"Ditylum"
0,32808806877597;"Lauderia"
0,319710367194954;"Paralia"
0,289598351816273;"Thalassiosira"
0,281467847621876;"Nitzschia"
0,122075153250965;"Skeletonema"
0,106116364259014;"Cylindrotheca"
