"cluster";"Phylum.Classe";"Nb"
1;"Ciliophora";1
2;"Bacillariophyceae";7
2;"Dinophyceae";1
3;"Bacillariophyceae";8
3;"Dictyochophyceae";1
3;"Dinophyceae";6
