"cluster";"Phylum.Classe";"Nb"
1;"Bacillariophyceae";2
1;"Ciliophora";1
2;"Bacillariophyceae";9
3;"Bacillariophyceae";7
3;"Dictyochophyceae";1
3;"Dinophyceae";4
