"hubs$vector";"Phyto"
1;"Chaetoceros"
0,993549337472893;"Pseudo-nitzschia"
0,954883276719198;"Leptocylindrus"
0,860511972570859;"Dactyliosolen"
0,794135206716798;"Guinardia"
0,70178074040367;"Rhizosolenia"
0,659109603857428;"Scrippsiella"
0,546160011107815;"Thalassionema"
0,541719864981189;"Protoperidinium"
0,514885971157148;"Gyrodinium"
0,490213687826246;"Cylindrotheca"
0,453415405401045;"Tripos"
0,442032140369765;"Prorocentrum"
0,363642993797858;"Heterocapsa"
0,363552277105045;"Gymnodinium"
0,244206612717094;"Nitzschia"
0,0866851852631222;"Navicula"
0,00491304619790176;"Licmophora"
