"hubs$vector";"Phyto"
1;"Leptocylindrus"
0,889235052265838;"Protoperidinium"
0,886082108431218;"Pseudo-nitzschia"
0,851254583159454;"Cerataulina"
0,826532106766932;"Prorocentrum"
0,804623350358973;"Dactyliosolen"
0,777739028758651;"Guinardia"
0,758595892006058;"Rhizosolenia"
0,739519137788246;"Gyrodinium"
0,735220696425437;"Chaetoceros"
0,66817936238742;"Scrippsiella"
0,497828425536183;"Katodinium"
0,416531875755445;"Gymnodinium"
0,399861528785766;"Pleurosigma"
0,385167953286351;"Ciliophora.x"
0,330994376345519;"Peridiniales"
0,316381617132415;"Dictyocha"
0,178913423359943;"Cylindrotheca"
0,161818844016055;"Navicula"
0,132695091096764;"Pennées"
0,105914565793497;"Nitzschia"
0,0623908730890713;"Thalassiosira"
0,050435081250532;"Skeletonema"
0,048193612073795;"Paralia"
