"cluster";"Phylum.Classe";"Nb"
1;"Bacillariophyceae";2
2;"Bacillariophyceae";5
2;"Dinophyceae";4
3;"Bacillariophyceae";5
3;"Dinophyceae";1
4;"Bacillariophyceae";5
4;"Ciliophora";1
4;"Cryptophyceae";1
4;"Dinophyceae";4
