"Code_point_Libelle";"Date";"N_noeuds";"N_liens";"D_liens";"C_tance";"Avg_p_length";"Adhes";"Mod";"meanN_liens";"Assort";"Diss";"Trans";"meanN_voisins";"Nat_connect";"N_clust"
"Géfosse";2007-03-07;17;58;3,41176470588235;0,426470588235294;0,145599672418665;4;0,268133174791914;6,82352941176471;0,0370656370656361;0,859674405077236;0,596685082872928;5,25862068965517;0,0806943288122426;3
"Géfosse";2007-03-27;12;32;2,66666666666667;0,484848484848485;0,143980893874245;1;0,11669921875;5,33333333333333;-0,0536440991490936;0,816251802766433;0,646706586826347;4,71875;0,126800704619343;2
"Géfosse";2007-04-19;14;46;3,28571428571429;0,505494505494505;0,1318580440889;4;0,192816635160681;6,57142857142857;-0,146345542732898;0,840475171001615;0,595667870036101;4;0,103064771077741;2
"Géfosse";2007-06-18;27;185;6,85185185185185;0,527065527065527;0,117125602835542;4;0,144061358655953;13,7037037037037;0,0823153433762109;0,833230377149036;0,666796875;3,82702702702703;0,0651719590413573;3
"Géfosse";2007-07-06;24;181;7,54166666666667;0,655797101449275;0,124732041433176;4;0,055965935105766;15,0833333333333;0,0258492304657089;0,812120754749656;0,790096878363832;3,01104972375691;0,090446065077081;3
"Géfosse";2007-08-14;18;73;4,05555555555556;0,477124183006536;0,136526767594103;2;0,121317320322762;8,11111111111111;0,0633996745525085;0,832433620796168;0,662273476112026;4,78082191780822;0,0833916201893611;3
"Géfosse";2007-10-01;22;131;5,95454545454545;0,567099567099567;0,10419180625987;5;0,109579861313443;11,9090909090909;0,0590503553606544;0,848535759346871;0,66299416720674;3,44274809160305;0,0737866307424499;3
"Géfosse";2007-10-30;14;44;3,14285714285714;0,483516483516484;0,128346864431041;4;0,119576446280992;6,28571428571429;-0,0426086956521712;0,857703946395137;0,564;4,09090909090909;0,0988988596629136;3
"Géfosse";2007-11-16;8;12;1,5;0,428571428571429;0,248649642776621;2;0,277777777777778;3;-0,193717277486911;0,830753303830586;0,517241379310345;4,75;0,1809863450508;2
"Géfosse";2007-12-12;9;16;1,77777777777778;0,444444444444444;0,164356490619729;2;0,2421875;3,55555555555556;-0,26984126984127;0,863706665620766;0,521739130434783;4,5;0,153421345353052;3
"Géfosse";2008-01-16;10;20;2;0,444444444444444;0,244557428300197;2;0,155;4;0,651416122004358;0,828213823292584;0,608695652173913;5,5;0,142238933785487;3
"Géfosse";2008-02-12;12;39;3,25;0,590909090909091;0,122875893372431;4;0,19197896120973;6,5;-0,160914581535807;0,822525129769433;0,616071428571429;3,51282051282051;0,126132622271254;2
"Géfosse";2008-05-07;12;37;3,08333333333333;0,560606060606061;0,149752839951624;1;0,0368882395909422;6,16666666666667;0,000325520833333817;0,799997306660919;0,680555555555556;3,72972972972973;0,134709832732647;3
"Géfosse";2008-06-17;12;42;3,5;0,636363636363636;0,13468842492917;3;0,0450680272108844;7;-0,142168674698798;0,822432774428235;0,739285714285714;2,85714285714286;0,130448405739713;2
