"cluster";"Phylum.Classe";"Nb"
1;"Bacillariophyceae";10
1;"Dinophyceae";2
2;"Dinophyceae";1
3;"Bacillariophyceae";1
3;"Dinophyceae";1
4;"Bacillariophyceae";1
