"cluster";"Phylum.Classe";"Nb"
1;"Bacillariophyceae";3
2;"Bacillariophyceae";3
2;"Dinophyceae";1
3;"Bacillariophyceae";3
3;"Dinophyceae";1
4;"Bacillariophyceae";4
4;"Ciliophora";1
4;"Cryptophyceae";1
4;"Dictyochophyceae";1
