"Code_point_Libelle";"Date";"N_noeuds";"N_liens";"D_liens";"C_tance";"Avg_p_length";"Adhes";"Mod";"meanN_liens";"Assort";"Diss";"Trans";"meanN_voisins";"Nat_connect";"N_clust";"cluster"
"Anse de Carteau 2";2008-02-26;11;42;3,81818181818182;0,763636363636364;0,142375170707628;3;-0,018140589569161;7,63636363636364;-0,0268672756582421;0,797323802392541;0,855704697986577;2,28571428571429;0,159666628198803;3;1
"Anse de Carteau 2";2008-03-10;10;33;3,3;0,733333333333333;0,148354954767738;2;-0,0362718089990818;6,6;-0,11784351145038;0,815087748795821;0,846534653465347;2,51515151515152;0,157163884906789;3;1
"Anse de Carteau 2";2008-03-25;15;63;4,2;0,6;0,139925525777083;3;0,154195011337868;8,4;-0,1522633744856;0,83175230583186;0,729885057471264;3,03174603174603;0,104220907763775;2;1
"Anse de Carteau 2";2008-04-07;16;85;5,3125;0,708333333333333;0,147359607675582;4;0,0965397923875432;10,625;0,0789369611642777;0,780793051278086;0,858585858585859;2,58823529411765;0,135105395001645;2;1
"Anse de Carteau 2";2008-04-21;16;83;5,1875;0,691666666666667;0,136893658451613;3;0,0391929162432865;10,375;0,247718782534143;0,81734528269041;0,849122807017544;2,56626506024096;0,110153845889208;2;1
"Anse de Carteau 2";2008-05-05;13;52;4;0,666666666666667;0,153674569447675;3;0,102810650887574;8;0,124559859154933;0,779705995640998;0,829145728643216;2,78846153846154;0,143245394749217;2;1
"Anse de Carteau 2";2008-05-19;19;82;4,31578947368421;0,47953216374269;0,123082351272015;5;0,257584770969661;8,63157894736842;0,25768906381783;0,840609356184834;0,689127105666156;4,53658536585366;0,0789903643326354;3;1
"Anse de Carteau 2";2008-06-02;17;93;5,47058823529412;0,683823529411765;0,120157987684075;2;0,0131229043820095;10,9411764705882;0,00728252194732461;0,802265608809596;0,839303000968054;2,68817204301075;0,11425605817188;3;1
"Anse de Carteau 2";2008-06-16;15;79;5,26666666666667;0,752380952380952;0,15167346232411;3;0,0307643005928537;10,5333333333333;0,172014342189938;0,800473242224611;0,906553398058252;2,37974683544304;0,12850938226307;2;1
"Anse de Carteau 2";2008-06-30;15;101;6,73333333333333;0,961904761904762;0,125626386700097;12;-0,0166650328399177;13,4666666666667;-0,157418576598287;0,804934194762416;0,961995249406176;1,72277227722772;0,140462929786644;2;1
"Anse de Carteau 2";2008-07-15;20;117;5,85;0,61578947368421;0,119345537273438;5;0,0932500547885163;11,7;0,192386982202834;0,829620315489661;0,816223977027997;3,03418803418803;0,0900030887709719;3;1
"Anse de Carteau 2";2008-07-28;17;100;5,88235294117647;0,735294117647059;0,118590918993023;2;0,02255;11,7647058823529;0,282478404006862;0,81683352824633;0,889077053344623;2,53;0,111867285887217;3;1
"Anse de Carteau 2";2008-08-11;13;46;3,53846153846154;0,58974358974359;0,183524785216321;3;0,0923913043478261;7,07692307692308;0,103771619087306;0,786431733408383;0,819018404907976;3,04347826086957;0,134935806027824;2;1
"Anse de Carteau 2";2008-08-25;17;103;6,05882352941176;0,757352941176471;0,147080130819488;2;0,00395890281836175;12,1176470588235;0,0945965982504069;0,791595816230217;0,900720576461169;2,54368932038835;0,124782335628641;2;1
"Anse de Carteau 2";2008-09-08;18;124;6,88888888888889;0,810457516339869;0,112733459447141;6;0,0217221644120708;13,7777777777778;-0,14776907838883;0,807334631056103;0,872135102533173;2,46774193548387;0,118856764108822;2;1
"Anse de Carteau 2";2008-09-22;16;71;4,4375;0,591666666666667;0,175454313696763;3;0,0583217615552469;8,875;0,221705184259835;0,781249064772823;0,8296875;3,19718309859155;0,119881723587774;3;1
"Anse de Carteau 2";2008-10-06;12;29;2,41666666666667;0,439393939393939;0,169741734850535;2;0,31807372175981;4,83333333333333;-0,115384615384614;0,827876426261479;0,669230769230769;4,96551724137931;0,120728675730008;2;1
"Anse de Carteau 2";2008-10-20;9;20;2,22222222222222;0,555555555555556;0,113465694223004;2;0,22;4,44444444444444;0,53488372093023;0,814119677524335;0,846153846153846;4;0,171574676607495;2;1
"Anse de Carteau 2";2008-11-03;5;4;0,8;0,4;0,199113512960319;0;0,375;1,6;1;0,724798377983708;1;1,25;0,323561873006338;2;1
"Anse de Carteau 2";2008-11-17;14;59;4,21428571428571;0,648351648351648;0,132769062562204;4;0,0791439241597242;8,42857142857143;-0,0223852984706505;0,828395894112962;0,757894736842105;2,86440677966102;0,114238848063295;3;1
"Anse de Carteau 2";2008-12-01;7;14;2;0,666666666666667;0,138166724441587;3;0,0510204081632653;4;-0,0370370370370416;0,834001032658674;0,613636363636364;2,71428571428571;0,217205605042516;2;1
"Anse de Carteau 2";2008-12-15;9;22;2,44444444444444;0,611111111111111;0,182595334412497;2;0,0371900826446281;4,88888888888889;-0,105392156862743;0,791746154400034;0,71875;3,22727272727273;0,1747641610325;3;1
"Anse de Carteau 2";2008-12-29;8;17;2,125;0,607142857142857;0,155716123736649;3;0,179930795847751;4,25;-0,253308128544421;0,834149025793287;0,737704918032787;3,11764705882353;0,185381880059405;2;1
"Anse de Carteau 2";2009-01-12;15;66;4,4;0,628571428571429;0,106011000397268;3;0,0945821854912763;8,8;-0,178475773070366;0,860612344778824;0,718085106382979;2,75757575757576;0,0982909406420785;2;1
"Anse de Carteau 2";2009-01-19;15;58;3,86666666666667;0,552380952380952;0,157302335325762;3;0,187722948870392;7,73333333333333;-0,0781348456206651;0,815073590377281;0,726027397260274;3,39655172413793;0,107508731159135;2;1
"Anse de Carteau 2";2009-02-16;11;28;2,54545454545455;0,509090909090909;0,176497460733914;2;0,0682397959183674;5,09090909090909;0,0181180596142598;0,841772127061662;0,641221374045801;3,46428571428571;0,129203158292008;3;1
"Anse de Carteau 2";2009-03-02;11;37;3,36363636363636;0,672727272727273;0,141142705048382;4;0,16654492330168;6,72727272727273;-0,137653736991485;0,818709794970178;0,808695652173913;2,45945945945946;0,143567822853085;2;1
"Anse de Carteau 2";2009-03-16;14;58;4,14285714285714;0,637362637362637;0,151993845941573;6;0,172265160523187;8,28571428571429;-0,121304018195604;0,834959197684312;0,743421052631579;2,63793103448276;0,109693681584109;2;1
"Anse de Carteau 2";2009-03-30;16;70;4,375;0,583333333333333;0,164943327724203;4;0,078265306122449;8,75;0,0230065086491945;0,807275287242858;0,718592964824121;3,21428571428571;0,105638106790886;3;1
"Anse de Carteau 2";2009-04-14;10;41;4,1;0,911111111111111;0,117462162830363;6;-0,0118976799524093;8,2;-0,269258459323238;0,775091278575769;0,92;2,04878048780488;0,19520672840187;2;1
"Anse de Carteau 2";2009-04-27;12;40;3,33333333333333;0,606060606060606;0,17135740523882;3;0,0684374999999999;6,66666666666667;0,0909090909090904;0,807596717327657;0,80859375;3,05;0,131998597073131;3;1
"Anse de Carteau 2";2009-05-11;23;179;7,78260869565217;0,707509881422925;0,112710375282291;4;0,0174620018101806;15,5652173913043;-0,00401603058554916;0,827997011169092;0,828863796753705;2,59776536312849;0,0925596896964401;3;1
"Anse de Carteau 2";2009-05-25;15;99;6,6;0,942857142857143;0,115938803968121;11;-0,0135190286705439;13,2;-0,173333333333373;0,813168779286984;0,94320987654321;1,78787878787879;0,135906265262268;2;1
"Anse de Carteau 2";2009-06-08;18;100;5,55555555555556;0,65359477124183;0,136898257411085;3;0,0349999999999999;11,1111111111111;0,0693574937460304;0,80771289983377;0,829396325459318;3,1;0,106743675265296;3;1
"Anse de Carteau 2";2009-06-22;14;53;3,78571428571429;0,582417582417582;0,175648383899038;5;0,172837308650765;7,57142857142857;0,0827378293881213;0,791266668871623;0,745945945945946;3,54716981132075;0,124202763583036;2;1
"Anse de Carteau 2";2009-07-06;13;58;4,46153846153846;0,743589743589744;0,144407491677244;3;0,0271997621878716;8,92307692307692;-0,17929759704252;0,802092986064188;0,841683366733467;2,29310344827586;0,136163334428004;2;1
"Anse de Carteau 2";2009-07-20;18;108;6;0,705882352941177;0,140478945507144;3;0,0292781207133059;12;0,219938666810139;0,805011873418783;0,876533742331288;2,56481481481481;0,113798642098937;3;1
"Anse de Carteau 2";2009-08-03;17;105;6,17647058823529;0,772058823529412;0,127381534771395;2;0,00666666666666671;12,3529411764706;-0,150795252704672;0,798658392335632;0,880712625871418;2,39047619047619;0,127815131004481;3;1
"Anse de Carteau 2";2009-08-17;17;90;5,29411764705882;0,661764705882353;0,112564975233487;3;-0,005;10,5882352941176;0,0483383685800592;0,816893037888068;0,834702258726899;3,16666666666667;0,105084664395621;3;1
"Anse de Carteau 2";2009-08-31;22;150;6,81818181818182;0,649350649350649;0,122169336697387;4;0,0772444444444444;13,6363636363636;0,164230697847067;0,821447434366212;0,844632768361582;2,97333333333333;0,0932087397164066;3;1
"Anse de Carteau 2";2009-09-16;18;97;5,38888888888889;0,633986928104575;0,119904405788764;4;0,0510149856520353;10,7777777777778;0,0620391240225942;0,828676112257222;0,797540208136235;2,93814432989691;0,0996814077707448;3;1
"Anse de Carteau 2";2009-09-28;15;96;6,4;0,914285714285714;0,142958466765644;7;-0,0283745659722221;12,8;-0,172634056143895;0,79424682710616;0,94025974025974;1,80208333333333;0,147118929079934;3;1
"Anse de Carteau 2";2009-10-26;22;145;6,59090909090909;0,627705627705628;0,102815755714853;6;0,0321759809750297;13,1818181818182;0,00061819410526918;0,837915923813711;0,763440860215054;3,0551724137931;0,0824135557956669;4;1
"Anse de Carteau 2";2009-11-09;20;119;5,95;0,626315789473684;0,107737882659608;5;0,0797260080502789;11,9;-0,0622440622440634;0,838569067935546;0,745798319327731;3,04201680672269;0,0872020376341062;4;1
"Anse de Carteau 2";2009-11-23;19;121;6,36842105263158;0,707602339181287;0,136357855761184;5;0,0423468342326344;12,7368421052632;0,0257278617710565;0,799220719785574;0,844473007712082;2,65289256198347;0,117006040010901;3;1
"Anse de Carteau 2";2009-12-07;18;111;6,16666666666667;0,725490196078431;0,105862171934596;5;0,0579092606119632;12,3333333333333;-0,0995213402473057;0,82396907769004;0,815555555555556;2,57657657657658;0,110596189092812;2;1
"Anse de Carteau 2";2009-12-21;22;168;7,63636363636364;0,727272727272727;0,118510544568181;6;0,0373441043083901;15,2727272727273;0,131476447676543;0,817798486417193;0,847141190198366;2,51190476190476;0,103701392102258;3;1
"Anse de Carteau 2";2010-01-04;14;51;3,64285714285714;0,56043956043956;0,150312762491576;2;0,103613994617455;7,28571428571429;0,0595042556368535;0,830175314108289;0,782608695652174;3,23529411764706;0,108039510485224;3;1
"Anse de Carteau 2";2010-01-18;12;42;3,5;0,636363636363636;0,114359721766938;4;0,0263605442176871;7;-0,104829210836279;0,8723088887917;0,7;2,69047619047619;0,114694056231387;4;1
"Anse de Carteau 2";2010-02-01;11;27;2,45454545454545;0,490909090909091;0,134445937592169;3;0,192729766803841;4,90909090909091;-0,125710675931776;0,878069987828831;0,594827586206897;4,03703703703704;0,122867584709751;3;1
"Anse de Carteau 2";2010-02-15;13;42;3,23076923076923;0,538461538461538;0,109710966696741;3;0,140873015873016;6,46153846153846;-0,171467764060355;0,891199983312231;0,585365853658537;3,30952380952381;0,101410189920082;3;1
