"Code_point_Libelle";"Date";"N_noeuds";"N_liens";"D_liens";"C_tance";"Avg_p_length";"Adhes";"Mod";"meanN_liens";"Assort";"Diss";"Trans";"meanN_voisins";"Nat_connect";"N_clust"
"At so";2009-01-28;20;137;6,85;0,721052631578947;0,146663152240479;8;0,0603654962970856;13,7;-0,0931386616085588;0,806555564485371;0,785753424657534;2,51094890510949;0,0964008786588769;3
"At so";2009-02-25;22;165;7,5;0,714285714285714;0,144542078579356;6;0,0477685950413223;15;-0,000741238007327136;0,80403817858195;0,789864029666255;2,56363636363636;0,0948037979391025;3
"At so";2009-03-13;26;218;8,38461538461539;0,670769230769231;0,149666155025414;7;0,0686179614510563;16,7692307692308;-0,0110127362271331;0,799845526102059;0,769440654843111;2,80733944954128;0,0919074484125412;4
"At so";2009-03-23;29;256;8,82758620689655;0,630541871921182;0,131127923869189;9;0,103080749511719;17,6551724137931;-0,0316249665822705;0,832206567925224;0,702599731062304;2,89453125;0,0681307610359282;3
"At so";2009-04-06;20;119;5,95;0,626315789473684;0,167666438012604;2;0,0775368971117859;11,9;-0,116236972024138;0,801275223592812;0,727785613540197;2,94957983193277;0,0924067130818079;3
"At so";2009-04-23;24;179;7,45833333333333;0,648550724637681;0,148547890438623;5;0,0460191629474735;14,9166666666667;-0,00967670631769523;0,804984424479902;0,759156492785794;2,81564245810056;0,0904533174011394;4
"At so";2009-05-13;16;89;5,5625;0,741666666666667;0,16561059422674;6;0,0543491983335437;11,125;-0,125665853210527;0,798887181049239;0,801261829652997;2,26966292134831;0,114937746370554;3
"At so";2009-05-28;28;263;9,39285714285714;0,695767195767196;0,147744969421846;12;0,0690338157266984;18,7857142857143;-0,0731378647409777;0,800850654543809;0,764537849418486;2,65019011406844;0,0948670000184622;4
"At so";2009-06-10;26;239;9,19230769230769;0,735384615384615;0,148389537782286;7;0,0815549447663731;18,3846153846154;-0,0305870383254402;0,804442827532602;0,823851953392735;2,39748953974895;0,10014126147538;3
"At so";2009-06-26;33;364;11,030303030303;0,689393939393939;0,144626327812168;7;0,075587187537737;22,0606060606061;0,0972680774955341;0,804474449669263;0,802796173657101;2,68131868131868;0,0935855457128277;4
"At so";2009-07-22;32;359;11,21875;0,723790322580645;0,135518118048626;7;0,0514932379481848;22,4375;-0,0689523685928142;0,820404822896403;0,8060911212084;2,40947075208914;0,0857761051299929;4
"At so";2009-08-05;28;265;9,46428571428571;0,701058201058201;0,14875324545112;9;0,0823994304022784;18,9285714285714;-0,0685348895541547;0,800345721235336;0,78494623655914;2,5622641509434;0,0977181791228132;3
"At so";2009-08-19;30;312;10,4;0,717241379310345;0,139801984199031;10;0,0775651298487837;20,8;-0,0448812214818092;0,803191543927661;0,788887169168859;2,54487179487179;0,0970839760867345;3
"At so";2009-09-07;35;407;11,6285714285714;0,684033613445378;0,136423954515926;10;0,104277719756835;23,2571428571429;-0,0182512801068035;0,812359899953365;0,768250289687138;2,64864864864865;0,0847107220522754;3
"At so";2009-10-22;26;218;8,38461538461539;0,670769230769231;0,13982619846132;10;0,0582968605336251;16,7692307692308;-0,0443410728234718;0,811203414943976;0,751863096881038;2,6743119266055;0,0863700253467773;3
"At so";2009-12-01;32;307;9,59375;0,618951612903226;0,141612848657806;11;0,145417988519772;19,1875;-0,0106386579202763;0,807499785567642;0,721486761710794;2,99674267100977;0,0795057056375569;3
"At so";2009-12-15;24;175;7,29166666666667;0,634057971014493;0,138749319479698;8;0,110057142857143;14,5833333333333;-0,115356401664696;0,814675480707794;0,699638118214717;2,88571428571429;0,079421875155012;4
"At so";2010-01-21;32;318;9,9375;0,641129032258065;0,133674666759334;2;0,0963223369328745;19,875;0,0382297457471438;0,818729092581808;0,745088868101029;2,89937106918239;0,0794003345284698;3
"At so";2010-03-03;24;183;7,625;0,66304347826087;0,14367229555309;7;0,0651557227746424;15,25;-0,0235958862346039;0,806617007578345;0,750543084721217;2,85245901639344;0,0893933675954946;3
"At so";2010-03-16;19;120;6,31578947368421;0,701754385964912;0,167060660019296;1;0,0415625;12,6315789473684;-0,0926551088754625;0,780922796939697;0,805023132848645;2,65833333333333;0,114248563177873;3
"At so";2010-04-14;25;198;7,92;0,66;0,158474774781524;6;0,0654142434445464;15,84;-0,0650231580330427;0,792893067443576;0,757643312101911;2,75252525252525;0,0960420907574835;3
"At so";2010-04-28;15;92;6,13333333333333;0,876190476190476;0,180065654880143;8;0,0179584120982987;12,2666666666667;-0,204478164322733;0,761352193477737;0,9;1,85869565217391;0,154400365235293;2
"At so";2010-05-12;13;46;3,53846153846154;0,58974358974359;0,236287452588776;2;0,145321361058601;7,07692307692308;0,472131147540983;0,764046718704602;0,821656050955414;3,21739130434783;0,134960810022235;2
"At so";2010-05-28;21;148;7,04761904761905;0,704761904761905;0,173442450915266;2;0,0802593133674215;14,0952380952381;-0,129087645360183;0,775473417976549;0,814814814814815;2,59459459459459;0,114783959078413;2
"At so";2010-06-11;16;103;6,4375;0,858333333333333;0,166546071476663;8;0,0174851541144312;12,875;-0,220873084706565;0,764838213411851;0,89047619047619;1,9126213592233;0,149347751676515;2
"At so";2010-06-25;17;112;6,58823529411765;0,823529411764706;0,164433124087349;5;0,00067761479591838;13,1764705882353;-0,154979375368294;0,765440481269447;0,878511235955056;2,0625;0,145270579901512;3
"At so";2010-07-19;23;173;7,52173913043478;0,683794466403162;0,163249276032777;8;0,0649370176083398;15,0434782608696;0,0163122971860312;0,790097540913506;0,783521181500194;2,63005780346821;0,101917322362344;2
"At so";2010-08-12;23;193;8,39130434782609;0,762845849802372;0,148640305916782;4;0,0634513678219549;16,7826086956522;-0,00824274653945164;0,801973367540804;0,854082583048743;2,30569948186529;0,104707127860842;2
"At so";2010-09-07;25;198;7,92;0,66;0,168656346614353;1;0,0638837873686359;15,84;-0,0687965227796692;0,789601719874482;0,776282853566959;3,00505050505051;0,0950264777855964;4
"At so";2010-10-07;15;85;5,66666666666667;0,80952380952381;0,165229058421209;7;0,0622145328719723;11,3333333333333;-0,158599586711173;0,777189660696472;0,851485148514851;2,15294117647059;0,13887732468686;2
"At so";2010-11-24;17;78;4,58823529411765;0,573529411764706;0,211255642215829;2;0,0871959237343853;9,17647058823529;0,0613191912495883;0,785611384791959;0,738461538461539;3,35897435897436;0,102789543329525;3
"At so";2010-12-21;16;87;5,4375;0,725;0,144349065807703;5;0,0399656493592284;10,875;-0,173977991335957;0,801664919664437;0,783754116355653;2,47126436781609;0,113151737208817;3
"At so";2011-01-24;21;144;6,85714285714286;0,685714285714286;0,144400856464209;1;0,0485146604938272;13,7142857142857;-0,0122075279755864;0,824937231263545;0,805722891566265;2,71527777777778;0,0862148656601475;3
"At so";2011-02-21;22;158;7,18181818181818;0,683982683982684;0,134211087830601;8;0,0730652139080276;14,3636363636364;-0,00844453184257221;0,825187845710267;0,747616886064458;2,69620253164557;0,0829216484512115;3
"At so";2011-03-31;18;120;6,66666666666667;0,784313725490196;0,183856291932252;9;0,0482986111111111;13,3333333333333;-0,138120666294738;0,766161603273198;0,812459016393443;2,26666666666667;0,131949774132732;2
"At so";2011-04-07;19;140;7,36842105263158;0,818713450292398;0,171630689866519;8;0,0469132653061225;14,7368421052632;-0,0939934992653226;0,768764513176336;0,852376137512639;2,05;0,132511718334988;2
"At so";2011-04-19;14;70;5;0,769230769230769;0,193337135018217;2;0,0260204081632653;10;-0,0787779893028688;0,764036396308484;0,855869242199108;2,11428571428571;0,14504897388765;2
"At so";2011-05-19;16;85;5,3125;0,708333333333333;0,184440765019777;6;0,063598615916955;10,625;-0,177708750561982;0,769701457859265;0,793416572077185;2,52941176470588;0,130861114590508;2
"At so";2011-06-01;18;108;6;0,705882352941177;0,171565169314358;3;0,0219478737997258;12;0,0447829770126454;0,772655252951303;0,819455252918288;2,61111111111111;0,122503659741379;2
"At so";2011-07-28;20;145;7,25;0,763157894736842;0,168694411474467;7;0,0550772889417361;14,5;-0,0448516953278693;0,786930512124012;0,837311251826595;2,29655172413793;0,114996044471031;2
"At so";2011-08-18;25;197;7,88;0,656666666666667;0,151071479880006;1;0,0814115282537556;15,76;-0,036917301990918;0,816826361446557;0,781829613329142;2,7258883248731;0,0841618881108092;2
