"cluster";"Phylum.Classe";"Nb"
1;"Bacillariophyceae";4
1;"Raphidophyceae";1
2;"Bacillariophyceae";14
2;"Chlorophyta";1
2;"Ciliophora";1
2;"Dinoflagellata incertae sedis";1
2;"Dinophyceae";11
2;"Euglenozoa";2
3;"Bacillariophyceae";6
3;"Dinophyceae";2
4;"Bacillariophyceae";20
4;"Chlorophyta";2
4;"Ciliophora";1
4;"Cryptophyceae";1
4;"Dictyochophyceae";1
4;"Dinophyceae";7
4;"Euglenozoa";2
4;"Haptophyta";1
