"cluster";"Phylum.Classe";"Nb"
1;"Bacillariophyceae";25
1;"Dinophyceae";7
2;"Bacillariophyceae";5
2;"Dinophyceae";7
2;"Ebriophyceae";1
2;"Euglenozoa";1
3;"Bacillariophyceae";5
3;"Chlorophyta";1
3;"Chrysophyceae";1
3;"Cryptophyceae";1
3;"Dinophyceae";19
3;"Ebriophyceae";1
3;"Euglenozoa";3
3;"Haptophyta";1
4;"Bacillariophyceae";7
4;"Chlorophyta";1
4;"Cyanophyceae";1
4;"Dictyochophyceae";1
4;"Euglenozoa";1
