"cluster";"Phylum.Classe";"Nb"
1;"Bacillariophyceae";9
1;"Dinophyceae";3
2;"Dinophyceae";1
3;"Bacillariophyceae";1
3;"Dinophyceae";3
4;"Bacillariophyceae";1
