"Dim 1";"Dim 2";"Dim 3";"Dim 4";"Dim 5";"cluster";"season";"Month";"Year";"Code_point_Libelle";"Date"
0,835350247966244;-0,110662157403812;-0,619017591514225;1,60937934867435;0,120005665340845;"2-Manche orientale - Mer du Nord";"Printemps";3;2009;"At so";2009-03-13
0,795669039968173;-0,0370305288966111;-0,734345048643212;3,92878879859196;0,230321265177178;"2-Manche orientale - Mer du Nord";"Printemps";3;2009;"At so";2009-03-23
0,627472600409622;0,32722026188229;-0,316475246985979;1,03214137083742;0,0607198093421712;"2-Manche orientale - Mer du Nord";"Printemps";4;2009;"At so";2009-04-06
-1,0148517948283;0,0808595123394827;-0,0328357029108501;-0,0591238995554562;0,00389978813398151;"2-Manche orientale - Mer du Nord";"Printemps";4;2009;"At so";2009-04-23
-1,02613828221013;0,0828169304704145;-0,0201651501657691;-0,0552020799089112;0,00381959185873194;"2-Manche orientale - Mer du Nord";"Printemps";5;2009;"At so";2009-05-13
0,264904673189497;-0,0227708270558492;0,394188810509777;0,341122992923381;-0,0256724029131604;"2-Manche orientale - Mer du Nord";"Printemps";5;2009;"At so";2009-05-28
0,43890705108668;-0,0363722241915742;0,379576594508676;0,624374780970453;-0,0124133871332065;"2-Manche orientale - Mer du Nord";"Ete";6;2009;"At so";2009-06-10
0,378019656019222;-0,0318618965081937;0,432871982744498;0,458994424098475;-0,0341217654221514;"2-Manche orientale - Mer du Nord";"Ete";6;2009;"At so";2009-06-26
0,789557883763754;-0,0848375577151997;-0,230326909298554;1,7420918903894;0,0884257449125235;"2-Manche orientale - Mer du Nord";"Ete";7;2009;"At so";2009-07-22
0,663024016836022;-0,0827473807056577;0,52144768823567;0,525578087701598;-0,0301875989179457;"2-Manche orientale - Mer du Nord";"Ete";8;2009;"At so";2009-08-05
0,820642772744618;-0,115606534015971;0,612407530825646;0,853217162676489;-0,0308656915462346;"2-Manche orientale - Mer du Nord";"Ete";8;2009;"At so";2009-08-19
0,73087299960356;-0,0992935684257629;0,069322826966961;0,755497835889438;0,166727661649989;"2-Manche orientale - Mer du Nord";"Automne";9;2009;"At so";2009-09-07
0,559395053247611;-0,0765436923259131;0,387789895227828;0,552331734075715;0,234378181524374;"2-Manche orientale - Mer du Nord";"Automne";10;2009;"At so";2009-10-22
0,72061936620238;-0,0981728526293314;0,0286757228906028;0,784766538985087;0,0659006097733828;"2-Manche orientale - Mer du Nord";"Hiver";12;2009;"At so";2009-12-01
0,8837751894601;-0,132474951723669;-0,619251218937913;0,396507770548278;0,0430822314646071;"2-Manche orientale - Mer du Nord";"Hiver";12;2009;"At so";2009-12-15
0,884246318696337;-0,140802082929294;-0,626512452659904;-0,00293502375486643;-0,00597121184780844;"2-Manche orientale - Mer du Nord";"Hiver";1;2010;"At so";2010-01-21
0,454298917405764;-0,0712545483222538;-0,317556174177287;0,814354801355725;0,0594137678292908;"2-Manche orientale - Mer du Nord";"Printemps";3;2010;"At so";2010-03-03
-0,988051806649819;0,0771059506140591;-0,057809947920932;-0,0840355051037677;0,00113068065206278;"2-Manche orientale - Mer du Nord";"Printemps";3;2010;"At so";2010-03-16
-1,04317960706411;0,0840976334323084;-0,0300280330578775;-0,0482050962487638;0,00526339286873851;"2-Manche orientale - Mer du Nord";"Printemps";4;2010;"At so";2010-04-14
-1,06700709597278;0,0863490883691578;-0,0327745889837346;-0,0637578574666242;0,00485708360310471;"2-Manche orientale - Mer du Nord";"Printemps";4;2010;"At so";2010-04-28
-0,311179749477044;0,00295868496018222;0,101958338505429;0,11029764811357;0,00777091301705293;"2-Manche orientale - Mer du Nord";"Printemps";5;2010;"At so";2010-05-12
-0,653542685858305;0,0406008568743206;0,0192723359378952;-0,018552371518858;-0,000592297893375648;"2-Manche orientale - Mer du Nord";"Printemps";5;2010;"At so";2010-05-28
-0,208254957665167;-0,00735969782997259;0,141126132559285;0,133928449264156;0,00493408043306819;"2-Manche orientale - Mer du Nord";"Ete";6;2010;"At so";2010-06-11
-0,126415642260871;-0,0168070750705347;0,144579387462674;0,14638004666989;0,00338865836684062;"2-Manche orientale - Mer du Nord";"Ete";6;2010;"At so";2010-06-25
0,857537664804452;-0,138904707414692;-0,351757534161885;-0,483807094991191;-0,114932777049431;"2-Manche orientale - Mer du Nord";"Ete";7;2010;"At so";2010-07-19
0,786503951957039;-0,120230347073688;-0,112526280382355;-0,350770632401058;-0,0925946912154235;"2-Manche orientale - Mer du Nord";"Ete";8;2010;"At so";2010-08-12
0,678685322739516;-0,11270740636669;-0,262404713835676;-0,145289993246465;-0,0521498045188652;"2-Manche orientale - Mer du Nord";"Automne";9;2010;"At so";2010-09-07
0,449043860662258;-0,0470044656756778;0,330345173965656;0,378114509469449;-0,0148845080207405;"2-Manche orientale - Mer du Nord";"Automne";10;2010;"At so";2010-10-07
0,818775150618809;-0,118946114678193;-0,419628109229885;0,848643628014034;0,0737016553961357;"2-Manche orientale - Mer du Nord";"Automne";11;2010;"At so";2010-11-24
0,643532763165592;-0,0935183980411472;-0,190126373373163;0,651739067185894;0,0566680255389641;"2-Manche orientale - Mer du Nord";"Hiver";12;2010;"At so";2010-12-21
0,912034194107859;-0,136900881414301;-0,669255019167229;0,82892511550136;0,0939220392327473;"2-Manche orientale - Mer du Nord";"Hiver";1;2011;"At so";2011-01-24
0,906191302548148;-0,11611916655575;-0,725074353359762;1,46777830033188;0,109375074550219;"2-Manche orientale - Mer du Nord";"Hiver";2;2011;"At so";2011-02-21
0,840263093206726;-0,0701474972326462;-0,764995520382928;2,82085098349379;0,162442629324636;"2-Manche orientale - Mer du Nord";"Printemps";3;2011;"At so";2011-03-08
-0,935863190037554;0,0796778666251262;-0,0357717220704011;-0,0614421888860168;0,00138864633652755;"2-Manche orientale - Mer du Nord";"Printemps";3;2011;"At so";2011-03-31
-1,01202005362486;0,0809664212799015;-0,0182319861465377;-0,0621111349930231;0,00134173034149481;"2-Manche orientale - Mer du Nord";"Printemps";4;2011;"At so";2011-04-07
-1,05369391850987;0,085229317571007;-0,0267833440757019;-0,0627551001534304;0,00402169820390232;"2-Manche orientale - Mer du Nord";"Printemps";4;2011;"At so";2011-04-19
-0,781856210198225;0,0545952404823353;0,0544522868514121;-0,014140381430756;-0,000456074399260354;"2-Manche orientale - Mer du Nord";"Printemps";5;2011;"At so";2011-05-19
0,765980959932689;-0,109577935296265;0,0230171264559289;0,632496546835201;0,0181087131978602;"2-Manche orientale - Mer du Nord";"Ete";6;2011;"At so";2011-06-01
1,00225936339701;-0,148770842421661;-0,737466809512849;-0,184073874223674;-0,0741700684187821;"2-Manche orientale - Mer du Nord";"Ete";7;2011;"At so";2011-07-28
0,476473675665598;-0,0532598195033695;0,440591944524753;0,234390162619619;-0,0299285148751825;"2-Manche orientale - Mer du Nord";"Ete";8;2011;"At so";2011-08-18
0,798830165233581;-0,110134531151215;-0,309179591026205;1,18900522356982;0,0811312137225803;"2-Manche orientale - Mer du Nord";"Automne";9;2011;"At so";2011-09-15
0,764636519420711;-0,104621385675387;0,16264818770131;0,567674307757225;-0,00853525522457173;"2-Manche orientale - Mer du Nord";"Automne";10;2011;"At so";2011-10-17
0,394020476959666;-0,0565111092420702;-0,00299227328916772;0,783115534194591;0,0567447633115018;"2-Manche orientale - Mer du Nord";"Automne";11;2011;"At so";2011-11-10
