"Dim 1";"Dim 2";"Dim 3";"Dim 4";"Dim 5";"cluster";"season";"Month";"Year";"Code_point_Libelle";"Date"
-0,176822294352146;-0,714921910990046;0,390335614691851;-0,629046363244127;0,202276389864074;"3-Atlantique - Manche occidentale";"Printemps";3;2007;"Géfosse";2007-03-07
-0,131221756606611;-0,0552086276203924;-0,129265539034126;0,0833964271745875;-0,0556655548541494;"3-Atlantique - Manche occidentale";"Printemps";3;2007;"Géfosse";2007-03-27
-0,283656911476859;-1,22324211833584;0,657886846140966;-1,27779518820922;0,481667584389195;"3-Atlantique - Manche occidentale";"Printemps";4;2007;"Géfosse";2007-04-19
0,25851993819682;-0,0247949158159525;-0,157239584645225;0,226122505725862;-0,286132999310086;"3-Atlantique - Manche occidentale";"Printemps";5;2007;"Géfosse";2007-05-21
-0,0924671288098264;-0,18330715788184;-0,00922551904685037;-0,101942957838184;-0,0635244783960919;"3-Atlantique - Manche occidentale";"Ete";6;2007;"Géfosse";2007-06-18
-0,121579646266761;0,134693217835163;-0,283281954368839;0,333411989847801;-0,178043417811217;"3-Atlantique - Manche occidentale";"Ete";7;2007;"Géfosse";2007-07-06
0,180816796753987;0,0217977700616573;-0,217077304567651;0,266646548459328;-0,280915347146429;"3-Atlantique - Manche occidentale";"Ete";8;2007;"Géfosse";2007-08-14
-0,0947396605450003;0,0603539645448718;-0,172577634489896;0,246732296843296;-0,184633346768791;"3-Atlantique - Manche occidentale";"Automne";10;2007;"Géfosse";2007-10-01
0,108081772885735;-0,199220341417834;-0,0307829865627228;-0,108728778121263;-0,137366094894686;"3-Atlantique - Manche occidentale";"Automne";10;2007;"Géfosse";2007-10-30
0,0765310354159483;-0,379846077842918;0,152179270220384;-0,186620200941245;-0,0669321924421724;"3-Atlantique - Manche occidentale";"Automne";11;2007;"Géfosse";2007-11-16
0,0482373125440143;-0,342487278469356;0,221755598374519;-0,137148390197876;-0,0839392516220884;"3-Atlantique - Manche occidentale";"Hiver";12;2007;"Géfosse";2007-12-12
-0,242473099738402;-1,00650253108549;0,494458769503745;-1,06583002313422;0,375899554294185;"3-Atlantique - Manche occidentale";"Hiver";1;2008;"Géfosse";2008-01-16
-0,2716938726393;-1,16141385188833;0,577254165072088;-1,2513612242281;0,459652076037419;"3-Atlantique - Manche occidentale";"Hiver";2;2008;"Géfosse";2008-02-12
-0,204032131056764;-0,660927812184098;0,269612890314272;-0,596845859850454;0,217658236367238;"3-Atlantique - Manche occidentale";"Printemps";3;2008;"Géfosse";2008-03-14
