"hubs$vector";"Phyto"
1;"Scrippsiella"
0,988363408237329;"Gyrodinium"
0,972697722476153;"Protoperidinium"
0,923280901337417;"Tripos"
0,887877816413586;"Leptocylindrus"
0,832606486734083;"Prorocentrum"
0,822186462908332;"Ciliophora.x"
0,819765053539104;"Cryptomonadales"
0,791436104364297;"Heterocapsa"
0,685133522814236;"Lithodesmium"
0,68391504007995;"Dinophysis"
0,661508168139621;"Gymnodiniaceae"
0,661023413607492;"Naviculaceae"
0,647188245393742;"Cerataulina"
0,634508146872098;"Heterosigma"
0,620876947000926;"Pseudo-nitzschia"
0,613791829287203;"Proboscia"
0,613717983532478;"Gymnodiniales"
0,607298170956435;"Gymnodinium"
0,584768940154606;"Torodinium"
0,555040364635143;"Chaetoceros"
0,547040964224808;"Asterionellopsis"
0,543358447804804;"Cymatosiraceae"
0,54241750039886;"Tintinnina"
0,535500289809591;"Karenia"
0,520591435003394;"Mesodinium"
0,518259559363259;"Diplopsalis"
0,512511018033456;"Gonyaulax"
0,511499826038875;"Euglenaceae"
0,500726685175241;"Bacteriastrum"
0,499412475749036;"Tintinnidae"
0,494047407553811;"Alexandrium"
0,493074555673901;"Noctiluca"
0,468364092775372;"Kareniaceae"
0,466577411105893;"Coscinodiscus"
0,465172210800279;"Katodinium"
0,448484364318103;"Cylindrotheca"
0,440438977377695;"Lingulodinium"
0,427998759618596;"Pronoctiluca"
0,427748546796897;"Oxytoxum"
0,424444384506223;"Polykrikos"
0,415879495768954;"Mediopyxis"
0,414740811427008;"Lepidodinium"
0,407434874971088;"Pleurosigma"
0,403148091402037;"Oblea"
0,395292725955752;"Dactyliosolen"
0,391207298239472;"Cryptophyceae.x"
0,387767849363191;"Chaetocerotaceae"
0,384318703695267;"Bacillariaceae"
0,378244535727924;"Pyramimonas"
0,370316186513589;"Amphidinium"
0,367816833757589;"Guinardia"
0,367500257556699;"Eucampia"
0,362033579519664;"Rhizosolenia"
0,350077926416127;"Dictyocha"
0,34509215050028;"Peridiniales"
0,33898384218028;"Haslea"
0,329746209957251;"Thalassionema"
0,301440366520674;"Trieres"
0,263627786466103;"Entomoneis"
0,242884746243369;"Warnowia"
0,234649831162089;"Protoceratium"
0,228509923276558;"Amylax"
0,21203739270824;"Gonyaulacaceae"
0,187125344462609;"Ditylum"
0,179888623127185;"Centriques"
0,166379981173756;"Eutreptiella"
0,162859736738971;"Helicotheca"
0,160427497899411;"Amphora"
0,15932039825444;"Eutreptiaceae"
0,15635439997525;"Dinobryon"
0,152364295358983;"Asteroplanus"
0,151642510305056;"Cocconeis"
0,141686576955591;"Nitzschia"
0,140230834581413;"Lauderia"
0,137798692852739;"Akashiwo"
0,124707540116589;"Asterionella"
0,123751308855014;"Thalassiosiraceae"
0,123643299471997;"Ceratium"
0,12190442431212;"Dinoflagellata.x"
0,115912493374155;"Pennées"
0,114334812854209;"Protoctista"
0,111823418983663;"Chromista.x"
0,110814321506715;"Licmophora"
0,109119302329151;"Odontella"
0,106997789643419;"Euglenia"
0,105966712355488;"Dinophyceae.x"
0,104510520278571;"Fragilariaceae"
0,101498162788891;"Paralia"
0,0980887082610191;"Navicula"
0,0970103553460121;"Pediastrum"
0,0961840372519366;"Peridinium"
0,0932094465200041;"Scenedesmus"
0,0928559423129348;"Rhaphoneis"
0,0911643644535748;"Thalassiosira"
0,0910297049220044;"Plagiogrammopsis"
0,0871089430243207;"Meuniera"
0,0838134308065488;"Striatella"
0,0810545409853618;"Melosiraceae"
0,0776379353922911;"Brockmanniella"
0,0764717818159435;"Diploneis"
0,069665289292445;"Skeletonema"
0,069036923555875;"Corethron"
0,0687960835256358;"Thalassionemataceae"
0,0584649451684679;"Euglena"
0,0579989211089644;"Plagiolemma"
0,0575104926679129;"Actinoptychus"
0,0552958107687802;"Synedra"
0,0514452201573192;"Phaeocystis"
0,0493091948938479;"Melosira"
0,0473996901091404;"Prymnesiophyceae"
0,0457498561352126;"Entomoneidaceae"
0,0436988326268296;"Grammatophora"
0,0408223918298131;"Euglenoidea"
0,033924757735302;"Plagiogramma"
0,0324154500141805;"Bacillaria"
0,0307474369272909;"Trigonium"
0,0288115471038806;"Biddulphia"
0,0222370717235522;"Podosira"
