Taxon;Phylum.Classe
Gonyaulacaceae;Dinophyceae
Gonyaulacales;Dinophyceae
Gonyaulax;Dinophyceae
Gonyaulax birostris;Dinophyceae
Gonyaulax complexe spinifera (diegensis + digitale + spinifera);Dinophyceae
Gonyaulax digitale;Dinophyceae
Gonyaulax digitalis;Dinophyceae
Gonyaulax fusiformis;Dinophyceae
Gonyaulax kofoidii;Dinophyceae
Gonyaulax pacifica;Dinophyceae
Gonyaulax polygramma;Dinophyceae
Gonyaulax spinifera;Dinophyceae
Gonyaulax verior;Dinophyceae
Gonyostomum;Raphidophyceae
Grammatophora;Bacillariophyceae
Grammatophora angulosa;Bacillariophyceae
Grammatophora angulosa var. angulosa;Bacillariophyceae
Grammatophora hamulifera;Bacillariophyceae
Grammatophora marina;Bacillariophyceae
Grammatophora oceanica;Bacillariophyceae
Grammatophora serpentina;Bacillariophyceae
Grammatophora undulata;Bacillariophyceae
Guinardia;Bacillariophyceae
Guinardia cylindrus;Bacillariophyceae
Guinardia delicatula;Bacillariophyceae
Guinardia flaccida;Bacillariophyceae
Guinardia striata;Bacillariophyceae
Gymnodiniaceae;Dinophyceae
Gymnodiniales;Dinophyceae
Gymnodinium;Dinophyceae
Gymnodinium + Gyrodinium;Dinophyceae
Gymnodinium catenatum;Dinophyceae
Gymnodinium heterostriatum;Dinophyceae
Gymnodinium impudicum;Dinophyceae
Gyrodinium;Dinophyceae
Gyrodinium flagellare;Dinophyceae
Gyrodinium fusiforme;Dinophyceae
Gyrodinium fusus;Dinophyceae
Gyrodinium spirale;Dinophyceae
Gyrosigma;Bacillariophyceae
Gyrosigma fasciola;Bacillariophyceae
Gyrosigma lineare;Bacillariophyceae
Gyrosigma prolongatum;Bacillariophyceae
Gyrosigma reversum;Bacillariophyceae
Halamphora;Bacillariophyceae
Halamphora costata;Bacillariophyceae
Halosphaera;Chlorophyta
Hantzschia;Bacillariophyceae
Haptolina hirta + ericina + Chrysochromulina spinifera;Haptophyta
Haptophyta;Haptophyta
Haslea;Bacillariophyceae
Haslea ostrearia;Bacillariophyceae
Haslea spicula;Bacillariophyceae
Haslea wawrikae;Bacillariophyceae
Helicostomella;Ciliophora
Helicotheca;Bacillariophyceae
Helicotheca tamesis;Bacillariophyceae
Heliopeltaceae;Bacillariophyceae
Helladosphaera;Haptophyta
Hemiaulus;Bacillariophyceae
Hemiaulus hauckii;Bacillariophyceae
Hemiaulus membranaceus;Bacillariophyceae
Hemiaulus sinensis;Bacillariophyceae
Hemidinium;Dinophyceae
Hemidiscaceae;Bacillariophyceae
Hemidiscus;Bacillariophyceae
Hemidiscus cuneiformis;Bacillariophyceae
Hemidiscus ovalis;Bacillariophyceae
Hermesinum;Ebriophyceae
Hermesinum adriaticum;Ebriophyceae
Heterocapsa;Dinophyceae
Heterocapsa minima;Dinophyceae
Heterocapsa niei;Dinophyceae
Heterocapsa rotundata;Dinophyceae
Heterocapsa triquetra;Dinophyceae
Heterocapsaceae;Dinophyceae
Heterodinium;Dinophyceae
Heterodinium milneri;Dinophyceae
Heterosigma;Raphidophyceae
Heterosigma akashiwo;Raphidophyceae
Histioneis;Dinophyceae
Histioneis cymbalaria;Dinophyceae
Histioneis depressa;Dinophyceae
Histioneis gregoryi;Dinophyceae
Histioneis karstenii;Dinophyceae
Histioneis megalocopa;Dinophyceae
Histioneis paraformis;Dinophyceae
Histioneis subcarinata;Dinophyceae
Hyalodiscaceae;Bacillariophyceae
Hyalodiscus;Bacillariophyceae
Hyalosira interrupta;Bacillariophyceae
Hydrosera;Bacillariophyceae
Isthmia;Bacillariophyceae
Isthmia enervis;Bacillariophyceae
Isthmia japonica;Bacillariophyceae
Isthmia minima;Bacillariophyceae
Isthmochloron;Xanthophyceae
Karenia;Dinophyceae
Karenia bicuneiformis;Dinophyceae
Karenia brevis;Dinophyceae
Karenia brevis + papilionacea;Dinophyceae
Karenia mikimotoi;Dinophyceae
Karenia papilionacea;Dinophyceae
Karenia selliformis;Dinophyceae
Kareniaceae;Dinophyceae
Karlodinium;Dinophyceae
Karlodinium veneficum;Dinophyceae
Katodinium;Dinophyceae
Katodinium glaucum;Dinophyceae
Kephyrion;Chrysophyceae
Khakista;Khakista
Kirchneriella;Chlorophyta
Kofoidinium;Dinophyceae
Kofoidinium velleloides;Dinophyceae
Kryptoperidinium;Dinophyceae
Kryptoperidinium foliaceum;Dinophyceae
Laboea;Ciliophora
Lagerheimia;Chlorophyta
Lampriscus orbiculatum;Bacillariophyceae
Lampriscus shadboltianum;Bacillariophyceae
Lauderia;Bacillariophyceae
Lauderia + Detonula;Bacillariophyceae
Lauderia annulata;Bacillariophyceae
Lepidodinium;Dinophyceae
Lepidodinium chlorophorum;Dinophyceae
Lepocinclis;Euglenozoa
Leptocylindraceae;Bacillariophyceae
Leptocylindrus;Bacillariophyceae
Leptocylindrus danicus;Bacillariophyceae
Leptocylindrus mediterraneus;Bacillariophyceae
Leptocylindrus minimus;Bacillariophyceae
Leptocylindrus, complexe danicus groupe des larges (danicus + curvatus + mediterraneus + aporus + convexus + hargravesii + adriaticus);Bacillariophyceae
Leptocylindrus, complexe minimus groupe des fines (L. minimus + Tenuicylindrus belgicus);Bacillariophyceae
Leptolyngbya;Cyanophyceae
Lessardia;Dinophyceae
Lessardia elongata;Dinophyceae
Levanderina fissa;Dinophyceae
Licmophora;Bacillariophyceae
Licmophora abbreviata;Bacillariophyceae
Licmophora ehrenbergii;Bacillariophyceae
Licmophora flabellata;Bacillariophyceae
Licmophora grandis;Bacillariophyceae
Licmophora remulus;Bacillariophyceae
Licmophora tenuis;Bacillariophyceae
Licmosphenia peragallioides;Bacillariophyceae
Lingulodinium;Dinophyceae
Lingulodinium polyedra;Dinophyceae
Lioloma;Bacillariophyceae
Lioloma elongatum;Bacillariophyceae
Lioloma pacificum;Bacillariophyceae
Lithodesmiaceae;Bacillariophyceae
Lithodesmium;Bacillariophyceae
Lithodesmium undulatum;Bacillariophyceae
Lyngbya;Cyanophyceae
Lyrella;Bacillariophyceae
Lyrella lyra;Bacillariophyceae
Mallomonas;Synurophyceae
Manguinea fusiformis;Bacillariophyceae
Mastogloia;Bacillariophyceae
Mastogloia angulata;Bacillariophyceae
Mastogloia apiculata;Bacillariophyceae
Mastogloia corsicana;Bacillariophyceae
Mastogloia elliptica;Bacillariophyceae
Mastogloia exigua;Bacillariophyceae
Mastogloia fimbriata;Bacillariophyceae
Mastogloia hustedtii;Bacillariophyceae
Mastogloia meisteri;Bacillariophyceae
Mastogloia rostratra;Bacillariophyceae
Mastogloia sigillata;Bacillariophyceae
Mastogloia splendida;Bacillariophyceae
Mediopyxis;Khakista
Mediopyxis helysia;Khakista
Melosira;Bacillariophyceae
Melosira lineata;Bacillariophyceae
Melosira moniliformis;Bacillariophyceae
Melosira nummuloides;Bacillariophyceae
Melosiraceae;Bacillariophyceae
Meringosphaera;Xanthophyceae
Merismopedia;Cyanophyceae
Mesodinium;Ciliophora
Mesodinium rubrum;Ciliophora
Mesoporos;Dinophyceae
Metaphalacroma;Dinophyceae
Meuniera;Bacillariophyceae
Meuniera membranacea;Bacillariophyceae
Michaelsarsia adriatica;Haptophyta
Michaelsarsia elegans;Haptophyta
Micracanthodinium;Dinophyceae
Microcystis;Cyanophyceae
Minidiscus;Bacillariophyceae
Minutocellus;Bacillariophyceae
Miraltia throndsenii;Bacillariophyceae
Monactinus simplex;Chlorophyta
Monoraphidium;Chlorophyta
Nannochloris;Chlorophyta
Nanoflagelles;Autres nanoflagelles
Navicula;Bacillariophyceae
Navicula + Fallacia + Haslea + Lyrella + Petroneis;Bacillariophyceae
Navicula angusta;Bacillariophyceae
Navicula arenaria;Bacillariophyceae
Navicula cancellata;Bacillariophyceae
Navicula cari;Bacillariophyceae
Navicula constricta;Bacillariophyceae
Navicula directa;Bacillariophyceae
Navicula gregaria;Bacillariophyceae
Navicula gregaria + cryptocephala;Bacillariophyceae
Navicula hippocampus var. hippocampus;Bacillariophyceae
Navicula pelagica;Bacillariophyceae
Navicula smithii f. borealis;Bacillariophyceae
Navicula transitans;Bacillariophyceae
Navicula tripunctata;Bacillariophyceae
Naviculaceae;Bacillariophyceae
Naviculales;Bacillariophyceae
Nematodinium;Dinophyceae
Neocalyptrella;Bacillariophyceae
Neocalyptrella robusta;Bacillariophyceae
Neoceratium;Dinophyceae
Neoceratium arietinum;Dinophyceae
Neoceratium azoricum;Dinophyceae
Neoceratium candelabrum;Dinophyceae
Neoceratium concilians;Dinophyceae
Neoceratium contortum;Dinophyceae
Neoceratium declinatum;Dinophyceae
Neoceratium euarcuatum;Dinophyceae
Neoceratium furca;Dinophyceae
Neoceratium hexacanthum;Dinophyceae
Neoceratium kofoidii;Dinophyceae
Neoceratium macroceros;Dinophyceae
Neoceratium minutum;Dinophyceae
Neoceratium pentagonum;Dinophyceae
Neoceratium ranipes;Dinophyceae
Neosynedra;Bacillariophyceae
Nephrocytium;Chlorophyta
Nephroselmis;Chlorophyta
Nitzschia;Bacillariophyceae
Nitzschia + Hantzschia;Bacillariophyceae
Nitzschia bicapitata;Bacillariophyceae
Nitzschia clausii;Bacillariophyceae
Nitzschia constricta;Bacillariophyceae
Nitzschia distans;Bacillariophyceae
Nitzschia fluminensis;Bacillariophyceae
Nitzschia fusiformis;Bacillariophyceae
Nitzschia incerta;Bacillariophyceae
Nitzschia inconspicua;Bacillariophyceae
