"cluster";"Phylum.Classe";"Nb"
1;"Bacillariophyceae";3
2;"Bacillariophyceae";4
2;"Dinophyceae";3
3;"Bacillariophyceae";4
3;"Dinophyceae";1
4;"Bacillariophyceae";5
4;"Ciliophora";1
4;"Cryptophyceae";1
4;"Dinophyceae";3
4;"Haptophyta";1
