"hubs$vector";"Phyto"
1;"Leptocylindrus"
0,919086381585159;"Pseudo-nitzschia"
0,913079629255182;"Protoperidinium"
0,88634079514574;"Cerataulina"
0,836817605853385;"Prorocentrum"
0,798057018339489;"Dactyliosolen"
0,768230927570277;"Guinardia"
0,755719416854205;"Chaetoceros"
0,755044390205975;"Rhizosolenia"
0,7452152710299;"Gyrodinium"
0,689441876821535;"Scrippsiella"
0,476590171833953;"Heterocapsa"
0,432199845686506;"Pleurosigma"
0,420952090263579;"Ciliophora.x"
0,333091315133871;"Dictyocha"
0,30324254217113;"Asterionellopsis"
0,230671701793009;"Cylindrotheca"
0,200617609817578;"Cryptophyceae.x"
0,111034291818925;"Pennées"
0,101328812579597;"Ditylum"
0,088893095793363;"Nitzschia"
0,0763588787286758;"Thalassiosira"
0,0758604409445024;"Centriques"
0,0578503210398371;"Paralia"
0,0445435992253037;"Skeletonema"
