"hubs$vector";"Phyto"
1;"Guinardia"
0,962169808252693;"Cryptophyceae.x"
0,960040698796052;"Gyrodinium"
0,951108501890553;"Protoperidinium"
0,937290030290673;"Ciliophora.x"
0,872894355327471;"Pseudo-nitzschia"
0,858302794446634;"Chaetoceros"
0,8303598774524;"Rhaphoneis"
0,822986159482185;"Katodinium"
0,78147083975164;"Rhizosolenia"
0,765505916392744;"Prorocentrum"
0,735197919310129;"Leptocylindrus"
0,730544921776691;"Pleurosigma"
0,706865055207135;"Eutreptiella"
0,68343111173776;"Gymnodiniales"
0,670599908016322;"Navicula"
0,655314401226963;"Asterionellopsis"
0,630476396440731;"Biddulphia"
0,627583581176827;"Delphineis"
0,598269488973658;"Cerataulina"
0,553868052048543;"Dactyliosolen"
0,529283983122164;"Gymnodinium"
0,527218071535703;"Paralia"
0,508770410684731;"Torodinium"
0,498524462064748;"Heterocapsa"
0,493075159937707;"Polykrikos"
0,477030381350524;"Diploneis"
0,476914030105468;"Phaeocystis"
0,473740328348911;"Scrippsiella"
0,459460437131809;"Thalassionema"
0,453494213894007;"Amphidinium"
0,436859075442064;"Meuniera"
0,420837965957927;"Trigonium"
0,419418512632536;"Eucampia"
0,408390376506567;"Diplopsalis"
0,408320160257559;"Karlodinium"
0,34860261851246;"Odontella"
0,346891738219549;"Gonyaulax"
0,336784672156355;"Trieres"
0,319989205345881;"Dinophysis"
0,311244110109371;"Thalassiosira"
0,304374240942151;"Lauderia"
0,303675539842126;"Ditylum"
0,298776293246076;"Mesodinium"
0,26263605005182;"Nitzschia"
0,258921312919047;"Brockmanniella"
0,258196454953925;"Dictyocha"
0,257139150455077;"Alexandrium"
0,24528574940592;"Chlorophyceae"
0,219401254674368;"Cylindrotheca"
0,218942917851034;"Pennées"
0,21513885918334;"Pyramimonas"
0,205652087973043;"Licmophora"
0,193248582146752;"Coscinodiscus"
0,183654367341617;"Lithodesmium"
0,171962740625081;"Euglenoidea"
0,171059009792981;"Porosira"
0,168404349749042;"Peridiniales"
0,143891165009398;"Skeletonema"
0,139800693849215;"Akashiwo"
0,1363479065911;"Euglenia"
0,10971279179806;"Gymnodiniaceae"
0,106527084682644;"Heterosigma"
0,0933648005656915;"Asterionella"
0,091770997759459;"Helicotheca"
0,0917030738279287;"Bacillaria"
0,0845033294409313;"Centriques"
0,0747901875276931;"Plagiogramma"
0,0722860763743091;"Dinophyceae.x"
0,0651877410559218;"Actinoptychus"
0,0583754206580453;"Thalassiosiraceae"
0,0577185420689669;"Dinoflagellata.x"
0,047851140237515;"Naviculaceae"
0,0439914963946691;"Scenedesmus"
0,0423786269820861;"Euglenaceae"
0,0405425441959186;"Melosira"
0,0393847004148971;"Bacillariaceae"
0,0329785734131466;"Plagiolemma"
