"Date";"CHLOROA";"year";"CHLOROA_noseason";"Code_point_Libelle";"Outlier";"Changepoint";"Trend";"pvaltrend";"pvalchange";"psens";"slopesens"
2010-06-05;1,14368421052632;"2010";-0,334399520380905;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-06-15;0,522631578947368;"2010";-0,326197463398864;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-06-25;0,227142857142857;"2010";-0,132325929796299;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-07-05;0,42;"2010";0,368257598712075;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-07-15;0,548571428571428;"2010";0,688019749592507;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-07-25;0,748;"2010";1,04950006009765;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-08-04;1,02285714285714;"2010";1,45169011900364;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-08-14;1,55142857142857;"2010";1,89830912153482;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-08-24;2,01;"2010";2,24680386472676;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-09-03;2,44071428571429;"2010";2,58533939663968;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-09-13;2,87642857142857;"2010";2,8737746864409;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-09-23;2,26230769230769;"2010";2,36900522400948;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-10-03;1,53;"2010";1,79774045728251;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-10-13;0,887142857142857;"2010";0,98882854943051;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-10-23;0,872666666666667;"2010";0,62852984832991;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-11-02;0,579333333333333;"2010";0,280754918410248;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-11-12;0,4675;"2010";0,478303627532598;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-11-22;0,455;"2010";0,757592424903816;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-12-02;0,44;"2010";0,969580045102057;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-12-12;0,34;"2010";1,01553080196292;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2010-12-22;0,289230769230769;"2010";1,06615316785091;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
